/* LABELS FOR image0.jpg */
0 -341 209 96 96
0 -85 213 75 79
0 -350 -48 79 81
0 -207 -200 93 81
0 192 198 81 82
0 404 179 125 100
0 375 -22 96 75
0 124 -206 88 78
/* LABELS FOR image1.jpg */
0 -344 216 85 88
0 -354 -39 88 94
0 -88 208 72 73
0 186 192 108 90
0 405 185 88 85
0 377 -30 85 79
0 115 -214 70 70
/* LABELS FOR image2.jpg */
0 -344 212 96 90
0 -87 208 78 76
0 186 195 93 87
0 406 178 81 85
0 378 -28 81 78
0 111 -211 72 64
/* LABELS FOR image3.jpg */
0 -85 205 75 67
0 188 196 84 82
0 405 178 79 79
0 375 -27 73 70
0 109 -209 69 63
/* LABELS FOR image4.jpg */
0 191 194 81 75
0 402 181 84 79
0 377 -28 76 72
0 112 -208 72 73
/* LABELS FOR image5.jpg */
0 405 180 82 75
0 376 -27 78 75
0 111 -207 69 73
/* LABELS FOR image6.jpg */
0 377 -28 70 72
0 109 -211 66 61
/* LABELS FOR image7.jpg */
0 115 -212 64 69
/* LABELS FOR image8.jpg */
/* LABELS FOR image9.jpg */
0 -234 -211 138 128
/* LABELS FOR image10.jpg */
0 -375 -27 115 111
0 -234 -217 129 121
/* LABELS FOR image11.jpg */
0 -375 236 146 126
0 -376 -27 126 112
0 -237 -218 128 120
/* LABELS FOR image12.jpg */
0 -237 -216 131 126
0 -378 -27 120 111
0 -376 233 147 126
0 -71 219 134 112
0 144 -52 0 0
/* LABELS FOR image13.jpg */
/* LABELS FOR image14.jpg */
/* LABELS FOR image15.jpg */
/* LABELS FOR image16.jpg */
/* LABELS FOR image17.jpg */
/* LABELS FOR image18.jpg */
/* LABELS FOR image19.jpg */
/* LABELS FOR image20.jpg */
/* LABELS FOR image21.jpg */
/* LABELS FOR image22.jpg */
/* LABELS FOR image23.jpg */
/* LABELS FOR image24.jpg */
/* LABELS FOR image25.jpg */
/* LABELS FOR image26.jpg */
/* LABELS FOR image27.jpg */
/* LABELS FOR image28.jpg */
/* LABELS FOR image29.jpg */
/* LABELS FOR image30.jpg */
/* LABELS FOR image31.jpg */
/* LABELS FOR image32.jpg */
/* LABELS FOR image33.jpg */
/* LABELS FOR image34.jpg */
/* LABELS FOR image35.jpg */
/* LABELS FOR image36.jpg */
/* LABELS FOR image37.jpg */
/* LABELS FOR image38.jpg */
/* LABELS FOR image39.jpg */
/* LABELS FOR image40.jpg */
/* LABELS FOR image41.jpg */
/* LABELS FOR image42.jpg */
/* LABELS FOR image43.jpg */
/* LABELS FOR image44.jpg */
/* LABELS FOR image49.jpg */
/* LABELS FOR image50.jpg */
/* LABELS FOR image51.jpg */
/* LABELS FOR image52.jpg */
/* LABELS FOR image53.jpg */
/* LABELS FOR image54.jpg */
/* LABELS FOR image55.jpg */
/* LABELS FOR image56.jpg */
/* LABELS FOR image57.jpg */
/* LABELS FOR image58.jpg */
/* LABELS FOR image59.jpg */
/* LABELS FOR image60.jpg */
/* LABELS FOR image61.jpg */
/* LABELS FOR image62.jpg */
/* LABELS FOR image63.jpg */
/* LABELS FOR image64.jpg */
/* LABELS FOR image65.jpg */
/* LABELS FOR image66.jpg */
/* LABELS FOR image67.jpg */
/* LABELS FOR image68.jpg */
/* LABELS FOR image69.jpg */
/* LABELS FOR image70.jpg */
/* LABELS FOR image71.jpg */
/* LABELS FOR image72.jpg */
/* LABELS FOR image73.jpg */
/* LABELS FOR image74.jpg */
/* LABELS FOR image75.jpg */
/* LABELS FOR image76.jpg */
/* LABELS FOR image77.jpg */
/* LABELS FOR image78.jpg */
/* LABELS FOR image79.jpg */
/* LABELS FOR image80.jpg */
/* LABELS FOR image81.jpg */
/* LABELS FOR image82.jpg */
/* LABELS FOR image83.jpg */
/* LABELS FOR image84.jpg */
/* LABELS FOR image85.jpg */
/* LABELS FOR image86.jpg */
/* LABELS FOR image87.jpg */
/* LABELS FOR image88.jpg */
/* LABELS FOR image89.jpg */
/* LABELS FOR image90.jpg */
/* LABELS FOR image91.jpg */
/* LABELS FOR image92.jpg */
/* LABELS FOR image93.jpg */
/* LABELS FOR image94.jpg */
/* LABELS FOR image95.jpg */
/* LABELS FOR image96.jpg */
/* LABELS FOR image97.jpg */
/* LABELS FOR image98.jpg */
/* LABELS FOR image99.jpg */
/* LABELS FOR image100.jpg */
/* LABELS FOR image101.jpg */
/* LABELS FOR image102.jpg */
/* LABELS FOR image103.jpg */
/* LABELS FOR image104.jpg */
